wconfid,pctid,y,z,time
1,20,0.09,-0.125,0 days 00:00:00
1,20,-0.043,-0.125,0 days 00:00:01
1,20,0.09,-0.121,0 days 00:00:02
1,20,-0.012,-0.137,0 days 00:00:03
1,20,-0.016,-0.121,0 days 00:00:04
1,20,0.082,-0.121,0 days 00:00:05
1,20,-0.055,-0.109,0 days 00:00:06
1,20,0.012,-0.133,0 days 00:00:07
1,20,-0.102,-0.141,0 days 00:00:08
1,20,-0.059,-0.125,0 days 00:00:09
1,20,0.043,-0.133,0 days 00:00:10
1,20,-0.109,-0.148,0 days 00:00:11
1,20,-0.02,-0.125,0 days 00:00:12
1,20,0.043,-0.129,0 days 00:00:13
1,20,-0.09,-0.152,0 days 00:00:14
1,20,-0.102,-0.117,0 days 00:00:15
1,20,0.055,-0.121,0 days 00:00:16
1,20,-0.059,-0.141,0 days 00:00:17
1,20,-0.086,-0.117,0 days 00:00:18
1,20,0.094,-0.117,0 days 00:00:19
1,20,0.113,-0.148,0 days 00:00:20
1,20,0.012,-0.141,0 days 00:00:21
1,20,0.035,-0.141,0 days 00:00:22
1,20,-0.066,-0.125,0 days 00:00:23
1,20,-0.156,-0.113,0 days 00:00:24
1,20,0.059,-0.129,0 days 00:00:25
1,20,-0.031,-0.125,0 days 00:00:26
1,20,-0.133,-0.148,0 days 00:00:27
1,20,0.102,-0.145,0 days 00:00:28
1,20,-0.035,-0.125,0 days 00:00:29
1,20,-0.004,-0.137,0 days 00:00:30
1,20,0.098,-0.125,0 days 00:00:31
1,20,-0.012,-0.129,0 days 00:00:32
1,20,-0.148,-0.152,0 days 00:00:33
1,20,0.102,-0.129,0 days 00:00:34
1,20,-0.008,-0.133,0 days 00:00:35
1,20,-0.129,-0.164,0 days 00:00:36
1,20,0.145,-0.121,0 days 00:00:37
1,20,0.004,-0.121,0 days 00:00:38
1,20,0.027,-0.121,0 days 00:00:39
1,20,0.07,-0.117,0 days 00:00:40
1,20,-0.051,-0.152,0 days 00:00:41
1,20,-0.094,-0.117,0 days 00:00:42
1,20,0.082,-0.125,0 days 00:00:43
1,20,-0.012,-0.137,0 days 00:00:44
1,20,-0.09,-0.125,0 days 00:00:45
1,20,0.109,-0.109,0 days 00:00:46
1,20,0.008,-0.137,0 days 00:00:47
1,20,0.004,-0.133,0 days 00:00:48
1,20,0.078,-0.133,0 days 00:00:49
1,20,-0.039,-0.125,0 days 00:00:50
1,20,0.113,-0.117,0 days 00:00:51
1,20,-0.027,-0.117,0 days 00:00:52
1,20,-0.02,-0.121,0 days 00:00:53
1,20,0.09,-0.121,0 days 00:00:54
1,20,-0.047,-0.113,0 days 00:00:55
1,20,-0.004,-0.125,0 days 00:00:56
1,20,-0.051,-0.133,0 days 00:00:57
1,20,0.121,-0.125,0 days 00:00:58
1,20,0.023,-0.121,0 days 00:00:59
1,20,-0.121,-0.156,0 days 00:01:00
1,20,-0.035,-0.137,0 days 00:01:01
1,20,0.039,-0.125,0 days 00:01:02
1,20,-0.094,-0.156,0 days 00:01:03
1,20,-0.086,-0.129,0 days 00:01:04
1,20,0.051,-0.121,0 days 00:01:05
1,20,0.082,-0.148,0 days 00:01:06
1,20,0.102,-0.121,0 days 00:01:07
1,20,0.0,-0.145,0 days 00:01:08
1,20,-0.09,-0.125,0 days 00:01:09
1,20,-0.023,-0.133,0 days 00:01:10
1,20,0.023,-0.137,0 days 00:01:11
1,20,-0.082,-0.121,0 days 00:01:12
1,20,-0.152,-0.148,0 days 00:01:13
1,20,0.008,-0.129,0 days 00:01:14
1,20,-0.051,-0.121,0 days 00:01:15
1,20,-0.141,-0.148,0 days 00:01:16
1,20,0.094,-0.141,0 days 00:01:17
1,20,-0.031,-0.133,0 days 00:01:18
1,20,-0.09,-0.145,0 days 00:01:19
1,20,0.109,-0.133,0 days 00:01:20
1,20,-0.016,-0.113,0 days 00:01:21
1,20,-0.133,-0.148,0 days 00:01:22
1,20,0.055,-0.129,0 days 00:01:23
1,20,0.008,-0.129,0 days 00:01:24
1,20,0.148,-0.121,0 days 00:01:25
1,20,0.078,-0.121,0 days 00:01:26
1,20,-0.031,-0.137,0 days 00:01:27
1,20,-0.086,-0.113,0 days 00:01:28
1,20,0.082,-0.121,0 days 00:01:29
1,20,-0.043,-0.152,0 days 00:01:30
1,20,-0.078,-0.125,0 days 00:01:31
1,20,0.074,-0.125,0 days 00:01:32
1,20,-0.008,-0.141,0 days 00:01:33
1,20,-0.094,-0.125,0 days 00:01:34
1,20,0.105,-0.121,0 days 00:01:35
1,20,0.012,-0.145,0 days 00:01:36
1,20,0.09,-0.125,0 days 00:01:37
1,20,0.102,-0.105,0 days 00:01:38
1,20,-0.02,-0.117,0 days 00:01:39
1,20,0.008,-0.125,0 days 00:01:40
1,20,-0.043,-0.117,0 days 00:01:41
1,20,0.0,-0.125,0 days 00:01:42
1,20,-0.137,-0.156,0 days 00:01:43
1,20,-0.039,-0.121,0 days 00:01:44
1,20,0.012,-0.133,0 days 00:01:45
1,20,-0.125,-0.152,0 days 00:01:46
1,20,-0.086,-0.113,0 days 00:01:47
1,20,0.035,-0.129,0 days 00:01:48
1,20,-0.082,-0.152,0 days 00:01:49
1,20,-0.078,-0.121,0 days 00:01:50
1,20,0.066,-0.121,0 days 00:01:51
1,20,-0.063,-0.145,0 days 00:01:52
1,20,-0.051,-0.125,0 days 00:01:53
1,20,0.078,-0.125,0 days 00:01:54
1,20,0.109,-0.145,0 days 00:01:55
1,20,0.117,-0.121,0 days 00:01:56
1,20,0.016,-0.137,0 days 00:01:57
1,20,-0.059,-0.125,0 days 00:01:58
1,20,-0.152,-0.152,0 days 00:01:59
1,20,0.074,-0.137,0 days 00:02:00
1,20,-0.027,-0.137,0 days 00:02:01
1,20,-0.133,-0.148,0 days 00:02:02
1,20,0.086,-0.125,0 days 00:02:03
1,20,-0.051,-0.133,0 days 00:02:04
1,20,-0.031,-0.141,0 days 00:02:05
1,20,0.086,-0.129,0 days 00:02:06
1,20,-0.02,-0.121,0 days 00:02:07
1,20,-0.152,-0.156,0 days 00:02:08
1,20,0.063,-0.121,0 days 00:02:09
1,20,0.004,-0.133,0 days 00:02:10
1,20,0.141,-0.117,0 days 00:02:11
1,20,0.063,-0.125,0 days 00:02:12
1,20,-0.059,-0.145,0 days 00:02:13
1,20,-0.063,-0.121,0 days 00:02:14
1,20,0.074,-0.129,0 days 00:02:15
1,20,-0.051,-0.156,0 days 00:02:16
1,20,-0.094,-0.109,0 days 00:02:17
1,20,0.051,-0.125,0 days 00:02:18
1,20,-0.031,-0.148,0 days 00:02:19
1,20,-0.109,-0.125,0 days 00:02:20
1,20,0.098,-0.129,0 days 00:02:21
1,20,-0.004,-0.145,0 days 00:02:22
1,20,-0.082,-0.121,0 days 00:02:23
1,20,0.117,-0.121,0 days 00:02:24
1,20,0.023,-0.137,0 days 00:02:25
1,20,0.016,-0.125,0 days 00:02:26
1,20,0.09,-0.133,0 days 00:02:27
1,20,-0.023,-0.148,0 days 00:02:28
1,20,-0.148,-0.113,0 days 00:02:29
1,20,0.043,-0.125,0 days 00:02:30
1,20,-0.004,-0.137,0 days 00:02:31
1,20,-0.137,-0.109,0 days 00:02:32
1,20,0.141,-0.125,0 days 00:02:33
1,20,-0.012,-0.121,0 days 00:02:34
1,20,-0.121,-0.121,0 days 00:02:35
1,20,0.148,-0.121,0 days 00:02:36
1,20,0.031,-0.129,0 days 00:02:37
1,20,-0.004,-0.129,0 days 00:02:38
1,20,-0.07,-0.117,0 days 00:02:39
1,20,0.047,-0.125,0 days 00:02:40
1,20,0.141,-0.152,0 days 00:02:41
1,20,0.055,-0.125,0 days 00:02:42
1,20,-0.008,-0.137,0 days 00:02:43
1,20,0.121,-0.117,0 days 00:02:44
1,20,-0.137,-0.137,0 days 00:02:45
1,20,-0.008,-0.129,0 days 00:02:46
1,20,0.082,-0.125,0 days 00:02:47
1,20,-0.129,-0.137,0 days 00:02:48
1,20,0.047,-0.137,0 days 00:02:49
1,20,-0.043,-0.129,0 days 00:02:50
1,20,-0.113,-0.141,0 days 00:02:51
1,20,0.063,-0.133,0 days 00:02:52
1,20,-0.063,-0.129,0 days 00:02:53
1,20,-0.094,-0.141,0 days 00:02:54
1,20,0.066,-0.137,0 days 00:02:55
1,20,-0.035,-0.133,0 days 00:02:56
1,20,-0.156,-0.152,0 days 00:02:57
1,20,0.059,-0.133,0 days 00:02:58
1,20,0.035,-0.125,0 days 00:02:59
1,20,0.141,-0.125,0 days 00:03:00
1,20,0.043,-0.125,0 days 00:03:01
1,20,-0.07,-0.148,0 days 00:03:02
1,20,-0.063,-0.117,0 days 00:03:03
